Day Index,Visits,Note
8/11/12,189,
8/12/12,288,
8/13/12,366,
8/14/12,327,
8/15/12,361,
8/16/12,445,
8/17/12,414,
8/18/12,210,
8/19/12,292,
8/20/12,577,
8/21/12,612,
8/22/12,464,
8/23/12,683,
8/24/12,673,
8/25/12,407,
8/26/12,399,
8/27/12,581,
8/28/12,490,
8/29/12,2347,Invite email to all beta & alpha users
8/30/12,2141,Invite email to all waiting list users
8/31/12,2012,Released iPhone app & email announcement
9/1/12,1457,
9/2/12,1073,
9/3/12,963,
9/4/12,2029,
9/5/12,1742,
9/6/12,1074,
9/7/12,1109,
9/8/12,703,
9/9/12,933,
9/10/12,910,
9/11/12,714,
9/12/12,754,
9/13/12,632,
9/14/12,1349,Beta user reminder email
9/15/12,745,
9/16/12,722,
9/17/12,868,
9/18/12,654,
9/19/12,549,
9/20/12,561,
9/21/12,558,
9/22/12,425,
9/23/12,551,
9/24/12,1021,
9/25/12,1092,
9/26/12,640,
9/27/12,603,
9/28/12,669,
9/29/12,935,
9/30/12,707,
10/1/12,1552,
10/2/12,1148,
10/3/12,861,
10/4/12,749,
10/5/12,570,
10/6/12,408,
10/7/12,489,
10/8/12,630,
10/9/12,599,
10/10/12,543,
10/11/12,585,
10/12/12,448,
10/13/12,376,
10/14/12,418,
10/15/12,575,
10/16/12,509,
10/17/12,444,
10/18/12,463,
10/19/12,369,
10/20/12,312,
10/21/12,346,
10/22/12,431,
10/23/12,410,
10/24/12,407,
10/25/12,504,
10/26/12,467,
10/27/12,386,
10/28/12,550,
10/29/12,641,
10/30/12,495,
10/31/12,513,
11/1/12,509,
11/2/12,529,
11/3/12,340,
11/4/12,413,
11/5/12,404,
11/6/12,438,
11/7/12,477,
11/8/12,409,
11/9/12,552,
11/10/12,370,
11/11/12,527,
11/12/12,508,
11/13/12,396,
11/14/12,435,
11/15/12,444,
11/16/12,846,Everpix Highlights launch & new landing page
11/17/12,570,
11/18/12,607,
11/19/12,676,
11/20/12,674,
11/21/12,517,
11/22/12,1148,Cyber Monday preview
11/23/12,644,
11/24/12,555,
11/25/12,779,
11/26/12,2713,Cyber Monday offer
11/27/12,2926,
11/28/12,2362,
11/29/12,1737,
11/30/12,2639,
12/1/12,1756,
12/2/12,1953,
12/3/12,2124,
12/4/12,1780,
12/5/12,1588,
12/6/12,1295,
12/7/12,1786,
12/8/12,1122,
12/9/12,1271,
12/10/12,1715,
12/11/12,1321,
12/12/12,1299,
12/13/12,1483,
12/14/12,1090,
12/15/12,871,
12/16/12,1142,
12/17/12,1565,
12/18/12,2494,PR Phase 1 Embargo lifted
12/19/12,2429,
12/20/12,1491,
12/21/12,1120,
12/22/12,990,
12/23/12,1047,
12/24/12,1067,
12/25/12,1027,
12/26/12,1215,
12/27/12,1390,
12/28/12,1016,
12/29/12,838,
12/30/12,994,
12/31/12,842,
1/1/13,1123,
1/2/13,1437,
1/3/13,1289,
1/4/13,1290,
1/5/13,998,
1/6/13,1162,
1/7/13,1216,
1/8/13,1270,
1/9/13,2719,
1/10/13,2824,
1/11/13,1726,
1/12/13,1513,
1/13/13,1426,
1/14/13,1461,
1/15/13,1438,
1/16/13,1463,
1/17/13,1423,
1/18/13,1377,
1/19/13,1184,
1/20/13,1385,
1/21/13,1499,
1/22/13,1273,
1/23/13,1297,
1/24/13,1256,
1/25/13,1003,
1/26/13,810,
1/27/13,906,
1/28/13,1005,
1/29/13,1120,
1/30/13,898,
1/31/13,925,
2/1/13,801,
2/2/13,731,
2/3/13,800,
2/4/13,973,
2/5/13,898,
2/6/13,940,
2/7/13,939,
2/8/13,943,
2/9/13,784,
2/10/13,814,
2/11/13,995,
2/12/13,827,
2/13/13,758,
2/14/13,742,
2/15/13,687,
2/16/13,594,
2/17/13,768,
2/18/13,3479,Daring Fireball sponsored ad
2/19/13,2957,
2/20/13,1667,
2/21/13,1283,
2/22/13,5426,Daring Fireball sponsored post
2/23/13,7205,The Talk Show sponsorship
2/24/13,5699,
2/25/13,5909,
2/26/13,3701,
2/27/13,3456,
2/28/13,3429,
3/1/13,2981,
3/2/13,2980,
3/3/13,2948,
3/4/13,3199,
3/5/13,6507,PR Phase 2
3/6/13,6501,
3/7/13,4613,
3/8/13,4981,
3/9/13,3836,
3/10/13,3770,
3/11/13,4173,
3/12/13,3500,
3/13/13,3177,
3/14/13,2785,
3/15/13,3031,
3/16/13,2096,
3/17/13,2247,
3/18/13,2361,
3/19/13,1901,
3/20/13,1765,
3/21/13,1561,
3/22/13,1313,
3/23/13,1311,
3/24/13,2024,
3/25/13,1696,
3/26/13,1377,
3/27/13,1600,
3/28/13,1383,
3/29/13,1612,
3/30/13,1656,
3/31/13,1521,
4/1/13,1647,
4/2/13,1613,
4/3/13,1589,
4/4/13,1347,
4/5/13,1732,
4/6/13,5507,
4/7/13,11844,
4/8/13,2498,
4/9/13,1531,
4/10/13,1421,
4/11/13,2573,
4/12/13,3097,
4/13/13,1774,
4/14/13,1647,
4/15/13,1707,
4/16/13,1548,
4/17/13,1464,
4/18/13,1199,
4/19/13,1587,
4/20/13,1462,
4/21/13,1390,
4/22/13,1569,
4/23/13,1375,
4/24/13,1202,
4/25/13,1023,
4/26/13,1588,
4/27/13,1092,
4/28/13,1176,
4/29/13,1390,
4/30/13,1041,
5/1/13,1201,
5/2/13,1268,
5/3/13,1662,
5/4/13,993,
5/5/13,1052,
5/6/13,1513,
5/7/13,1351,
5/8/13,2207,
5/9/13,1770,
5/10/13,2081,New landing page
5/11/13,2112,
5/12/13,2939,
5/13/13,2428,
5/14/13,1730,
5/15/13,1485,
5/16/13,1565,
5/17/13,1984,
5/18/13,1425,
5/19/13,1851,
5/20/13,2241,
5/21/13,3040,
5/22/13,2360,
5/23/13,1852,
5/24/13,2248,
5/25/13,2000,
5/26/13,2462,
5/27/13,2388,
5/28/13,2717,
5/29/13,2784,
5/30/13,2237,
5/31/13,3036,
6/1/13,2415,
6/2/13,2886,
6/3/13,3389,
6/4/13,2476,
6/5/13,1744,
6/6/13,1674,
6/7/13,2545,
6/8/13,1371,
6/9/13,1390,
6/10/13,1868,
6/11/13,1681,
6/12/13,1376,
6/13/13,1285,
6/14/13,1894,
6/15/13,1158,
6/16/13,1444,
6/17/13,1538,
6/18/13,1214,
6/19/13,1297,
6/20/13,1153,
6/21/13,1794,
6/22/13,1175,
6/23/13,1360,
6/24/13,1448,
6/25/13,1320,
6/26/13,1311,
6/27/13,7389,Everpix 2.0 Launch
6/28/13,7069,
6/29/13,4174,
6/30/13,3947,
7/1/13,3737,
7/2/13,3409,
7/3/13,3690,
7/4/13,3263,
7/5/13,2922,
7/6/13,2563,
7/7/13,3098,
7/8/13,3406,
7/9/13,2936,
7/10/13,2939,
7/11/13,2970,
7/12/13,2394,
7/13/13,1983,
7/14/13,2473,
7/15/13,2996,
7/16/13,2606,
7/17/13,2439,
7/18/13,2268,
7/19/13,2352,
7/20/13,2214,
7/21/13,2482,
7/22/13,2712,
7/23/13,2941,Daring Fireball sponsored ad
7/24/13,3616,
7/25/13,2773,
7/26/13,4140,Daring Fireball sponsored post
7/27/13,4503,
7/28/13,7089,
7/29/13,5844,
7/30/13,4254,
7/31/13,3752,
8/1/13,3181,
8/2/13,2608,
8/3/13,2631,
8/4/13,3139,
8/5/13,3706,
8/6/13,3424,
8/7/13,2895,
8/8/13,2872,
8/9/13,6128,
8/10/13,5957,
8/11/13,7379,
8/12/13,6290,
8/13/13,4818,
8/14/13,4135,
8/15/13,3794,
8/16/13,3501,
8/17/13,3263,
8/18/13,3784,
8/19/13,4420,
8/20/13,3386,
8/21/13,3358,
8/22/13,3776,
8/23/13,3888,
8/24/13,3394,
8/25/13,3708,
8/26/13,4938,
8/27/13,4185,
8/28/13,3825,
8/29/13,4882,
8/30/13,4436,
8/31/13,4214,
9/1/13,5431,
9/2/13,4923,
9/3/13,4738,
9/4/13,4304,
9/5/13,3916,
9/6/13,3278,
9/7/13,3016,
9/8/13,3549,
9/9/13,3495,
9/10/13,3709,
9/11/13,3790,
9/12/13,3672,
9/13/13,3187,
9/14/13,2873,
9/15/13,3576,
9/16/13,3566,
9/17/13,3198,
9/18/13,2791,
9/19/13,3183,
9/20/13,2673,
9/21/13,2994,
9/22/13,3455,
9/23/13,4044,
9/24/13,3094,
9/25/13,3139,
9/26/13,3118,
9/27/13,3118,
9/28/13,3518,
9/29/13,3774,
9/30/13,4126,
10/1/13,4025,
10/2/13,3978,
10/3/13,3418,
10/4/13,3397,
10/5/13,3111,
10/6/13,4483,
10/7/13,5050,
10/8/13,3647,
10/9/13,3672,
10/10/13,3618,
10/11/13,3254,
10/12/13,3093,
10/13/13,3841,
10/14/13,4245,
10/15/13,2816,
10/16/13,3216,
10/17/13,3220,
10/18/13,2926,
10/19/13,3137,
10/20/13,3880,
10/21/13,3807,
10/22/13,3449,
10/23/13,4106,
10/24/13,3758,
10/25/13,3465,
10/26/13,3850,
10/27/13,4188,
10/28/13,4183,
10/29/13,3115,
10/30/13,3481,
10/31/13,4184,
11/1/13,3779,
11/2/13,3309,
11/3/13,4080,
11/4/13,4122,
11/5/13,34723,Shutdown Announcement
11/6/13,12311,
11/7/13,4397,
11/8/13,3991,
11/9/13,2138,
11/10/13,2678,
11/11/13,2133,
11/12/13,2753,
11/13/13,2599,
11/14/13,2211,
11/15/13,1496,
11/16/13,980,
11/17/13,1115,
11/18/13,1186,
11/19/13,1052,
11/20/13,904,
11/21/13,738,
11/22/13,682,
11/23/13,667,
11/24/13,845,
11/25/13,901,
11/26/13,1009,
11/27/13,897,
11/28/13,596,
11/29/13,601,
11/30/13,542,
