BillingPeriodStartDate,BillingPeriodEndDate,ProductCode,ProductName,UsageType,Operation,AvailabilityZone,RateId,UsageStartDate,UsageEndDate,UsageQuantity,CurrencyCode,TotalCost,user:billing
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,EBS:VolumeIOUsage,,,750674,2012/10/01 00:00:00,2012/10/31 23:59:59,684337641.00000000,USD,68.242558,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,EBS:VolumeIOUsage,,,750674,2012/10/01 00:00:00,2012/10/31 23:59:59,31475462.00000000,USD,3.138752,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,SA-Requests-Tier1,GET,,575484,2012/10/01 00:00:00,2012/10/31 23:59:59,8.00000000,USD,0.000013,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,SA-DataTransfer-Out-Bytes,,,575486,2012/10/01 00:00:00,2012/10/31 23:59:59,3.08360448,USD,0.770901,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonS3,Amazon Simple Storage Service,Requests-Tier2,,,279195,2012/10/01 00:00:00,2012/10/31 23:59:59,2096823.00000000,USD,2.093152,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonS3,Amazon Simple Storage Service,Requests-Tier2,,,279195,2012/10/01 00:00:00,2012/10/31 23:59:59,2794910.00000000,USD,2.790016,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonS3,Amazon Simple Storage Service,Requests-Tier2,,,279195,2012/10/01 00:00:00,2012/10/31 23:59:59,6524633.00000000,USD,6.513209,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonSNS,Amazon Simple Notification Service,Requests-Tier1,,,713289,2012/10/01 00:00:00,2012/10/31 23:59:59,1245.00000000,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,AU-Requests-Tier2-HTTPS,,,575504,2012/10/01 00:00:00,2012/10/31 23:59:59,32766.00000000,USD,0.040958,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonS3,Amazon Simple Storage Service,Requests-Tier1,,,279283,2012/10/08 22:35:30,2012/10/31 23:59:59,6118.00000000,USD,0.061289,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,EU-Requests-Tier1,GET,,575499,2012/10/01 00:00:00,2012/10/31 23:59:59,13282.00000000,USD,0.011954,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,EU-DataTransfer-Out-Bytes,,,575491,2012/10/01 00:00:00,2012/10/31 23:59:59,81.55198161,USD,9.786238,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,CW:AlarmMonitorUsage,,,750659,2012/10/01 00:00:00,2012/10/31 23:59:59,18.60752782,USD,0.860753,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonElastiCache,Amazon ElastiCache,NodeUsage:cache.m1.small,CreateCacheCluster:0001,us-east-1,550979,2012/10/01 00:00:00,2012/10/31 23:59:59,744.00000000,USD,66.960000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonSNS,Amazon Simple Notification Service,Requests-Tier1,,,713289,2012/10/15 21:43:01,2012/10/31 23:59:59,24.00000000,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,LoadBalancerUsage,LoadBalancing,,749341,2012/10/01 00:00:00,2012/10/31 23:59:59,2976.00000000,USD,55.650000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,AU-DataTransfer-Out-Bytes,,,575492,2012/10/01 00:00:00,2012/10/31 23:59:59,1.73941841,USD,0.330489,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,HeavyUsage,RunInstances,,264110,2012/10/01 00:00:00,2012/10/31 23:59:59,744.0,USD,14.880000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,HeavyUsage,RunInstances,,382361,2012/10/01 00:00:00,2012/10/31 23:59:59,744.0,USD,11.904000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,HeavyUsage,RunInstances,,382361,2012/10/01 00:00:00,2012/10/31 23:59:59,1488.0,USD,23.808000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRDS,Amazon RDS Service,Multi-AZHeavyUsage:db.m1.small,CreateDBInstance:0002,,323650,2012/10/01 00:00:00,2012/10/31 23:59:59,744.0,USD,40.176000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSSupportDeveloper,AWS Support (Developer),,,,,2012/11/01 00:00:00,2012/11/30 23:59:59,0.0,USD,49.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,,,,,2012/10/01 00:00:00,2012/10/31 23:59:59,0.0,USD,-12.900000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,,,,,2012/10/01 00:00:00,2012/10/31 23:59:59,0.0,USD,-0.120000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,HeavyUsage:t1.micro,RunInstances,,264260,2012/10/01 00:00:00,2012/10/31 23:59:59,2232.0,USD,11.160000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,HeavyUsage:t1.micro,RunInstances,,264260,2012/10/01 00:00:00,2012/10/31 23:59:59,744.0,USD,3.720000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRDS,Amazon RDS Service,RDS:Multi-AZ-StorageUsage,CreateDBInstance,us-east-1,717936,2012/10/01 00:00:00,2012/10/31 23:59:59,240.12096825,USD,48.024194,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRDS,Amazon RDS Service,RDS:Multi-AZ-StorageUsage,CreateDBInstance,us-east-1,717936,2012/10/01 00:00:00,2012/10/31 23:59:59,897.17742071,USD,179.435484,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRDS,Amazon RDS Service,RDS:Multi-AZ-StorageUsage,CreateDBInstance,us-east-1,717936,2012/10/01 00:00:00,2012/10/31 23:59:59,154.56989271,USD,30.913979,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonS3,Amazon Simple Storage Service,Requests-Tier1,,,279283,2012/10/01 00:00:00,2012/10/31 23:59:59,2267014.00000000,USD,22.666309,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonS3,Amazon Simple Storage Service,Requests-Tier1,,,279283,2012/10/01 00:00:00,2012/10/31 23:59:59,3393510.00000000,USD,33.929365,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonS3,Amazon Simple Storage Service,Requests-Tier1,,,279283,2012/10/01 00:00:00,2012/10/31 23:59:59,6238464.00000000,USD,62.374097,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRDS,Amazon RDS Service,Multi-AZUsage:db.m1.small,CreateDBInstance:0002,us-east-1,323649,2012/10/01 00:00:00,2012/10/31 23:59:59,45.00000000,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonS3,Amazon Simple Storage Service,Requests-Tier2,,,279195,2012/10/08 22:35:30,2012/10/31 23:59:59,6155.00000000,USD,0.006144,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,CW:Requests,,,750508,2012/10/01 00:00:00,2012/10/31 23:59:59,2946747.00000000,USD,19.467470,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:cc1.4xlarge,RunInstances,us-east-1d,751370,2012/10/01 00:00:00,2012/10/31 23:59:59,138.00000000,USD,179.400000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:cc1.4xlarge,RunInstances,us-east-1d,751370,2012/10/01 00:00:00,2012/10/31 23:59:59,1027.00000000,USD,1335.100000,production
