Percentile,Duration
0.05,0.00858616828918
0.1,0.0342671672503
0.15,0.081490500768
0.2,0.181615169843
0.25,0.467152829965
0.3,1.06728566488
0.35,2.59975983302
0.4,9.55197000106
0.45,50.4996069988
0.5,143.675608166
0.55,256.660929831
0.6,365.961726169
0.65,469.683103001
0.7,553.428646
0.75,628.871453166
0.8,717.056144166
0.85,817.433191498
0.9,953.781472166
0.95,1248.933916
