Day,Count
2013-06-11,736456
2013-06-12,738189
2013-06-13,744029
2013-06-14,745071
2013-06-15,747349
2013-06-16,751142
2013-06-17,753956
2013-06-18,756819
2013-06-19,759981
2013-06-20,761907
2013-06-21,763270
2013-06-22,764528
2013-06-23,767156
2013-06-24,769456
2013-06-25,770773
2013-06-26,771848
2013-06-27,772339
2013-06-28,771102
2013-06-29,779232
2013-06-30,781102
2013-07-01,791710
2013-07-02,794605
2013-07-03,796880
2013-07-04,801589
2013-07-05,816671
2013-07-06,821465
2013-07-07,824833
2013-07-08,828433
2013-07-09,836032
2013-07-10,839433
2013-07-11,849471
2013-07-12,858065
2013-07-13,860972
2013-07-14,864458
2013-07-15,867401
2013-07-16,870410
2013-07-17,874954
2013-07-18,881018
2013-07-19,886632
2013-07-20,888465
2013-07-21,890535
2013-07-22,894813
2013-07-23,899562
2013-07-24,901783
2013-07-25,904988
2013-07-26,906461
2013-07-27,908288
2013-07-28,911762
2013-07-29,922107
2013-07-30,926020
2013-07-31,929440
2013-08-01,930838
2013-08-02,937885
2013-08-03,939799
2013-08-04,941955
2013-08-05,943992
2013-08-06,949782
2013-08-07,953748
2013-08-08,958252
2013-08-09,960745
2013-08-10,962910
2013-08-11,965888
2013-08-12,969542
2013-08-13,975151
2013-08-14,980079
2013-08-15,984768
2013-08-16,987342
2013-08-17,991760
2013-08-18,994625
2013-08-19,1004478
2013-08-20,1016370
2013-08-21,1019494
2013-08-22,1021555
2013-08-23,1024069
2013-08-24,1028195
2013-08-25,1034335
2013-08-26,1045399
2013-08-27,1051037
2013-08-28,1054552
2013-08-29,1062522
2013-08-30,1069776
2013-08-31,1081079
2013-09-01,1086739
2013-09-02,1093783
2013-09-03,1097997
2013-09-04,1102442
2013-09-05,1113511
2013-09-06,1126207
2013-09-07,1139435
2013-09-08,1143238
2013-09-09,1147159
2013-09-10,1148863
2013-09-11,1152311
2013-09-12,1157442
2013-09-13,1161237
2013-09-14,1169663
2013-09-15,1171578
2013-09-16,1178425
2013-09-17,1186579
2013-09-18,1191183
2013-09-19,1194718
2013-09-20,1197610
2013-09-21,1211578
2013-09-22,1217840
2013-09-23,1223042
2013-09-24,1230708
2013-09-25,1233757
2013-09-26,1240834
2013-09-27,1244258
2013-09-28,1249131
2013-09-29,1251444
2013-09-30,1262379
2013-10-01,1265197
2013-10-02,1267765
2013-10-03,1269316
2013-10-04,1274941
2013-10-05,1276165
2013-10-06,1278686
2013-10-07,1287158
2013-10-08,1292168
2013-10-09,1296433
2013-10-10,1302515
2013-10-11,1310530
2013-10-12,1312397
2013-10-13,1315975
2013-10-14,1326957
2013-10-15,1332384
2013-10-16,1334455
2013-10-17,1342484
2013-10-18,1344394
2013-10-19,1347045
2013-10-20,1351424
2013-10-21,1360020
2013-10-22,1361338
2013-10-23,1365426
2013-10-24,1374402
2013-10-25,1376031
