Device,Count
Motorola MOTWX435KT,1
Sony MT27i,1
samsung GT-I9192,1
Sony Ericsson SO-01C,1
Sony C6906,1
Sony C6802,1
Xiaomi MI 2SC,1
Motorola MB525,1
Kobo Arc,1
Sony ST26i,1
Acer A700,1
TOSHIBA AT10-A,1
HTC Butterfly s,1
HTC Desire 500,1
Samsung GT-I9001,1
Sony SGP312,1
LGE LG-E450g,1
Sony C6902,1
LGE LG-E617G,1
motorola DROIDX,1
samsung SAMSUNG-EK-GC100,1
samsung SC-05D,1
samsung SHV-E250K,1
asus ME301T,1
samsung SCH-R530M,1
samsung SAMSUNG-SGH-I467,1
NEWMAN N1,1
SHARP SBM203SH,1
HUAWEI MediaPad,1
HTC EVO 3D X515m,1
samsung GT-I9100G,1
LGE LG-LS855,1
samsung SC-01E,1
HUAWEI GS03,1
Sony Ericsson HTL22,1
HTC Desire X,1
samsung SGH-I777,1
motorola DROID4,1
SHARP SBM206SH,1
Amazon Kindle Fire,1
LGE L-01E,1
motorola XT1030,1
samsung SGH-T889,1
samsung SCH-I415,1
FUJITSU F-12C,1
samsung SHV-E300K,1
Sony C5502,1
