Percentile,Delivered,Opened,Clicked
0.05,0.914050925926,0.813819444444,1.37174768519
0.1,0.916400462963,0.895300925926,1.64452546296
0.15,0.953668981481,0.939571759259,1.95305555556
0.2,0.956597222222,1.04931712963,2.61836805556
0.25,0.958217592593,1.27347222222,2.93230324074
0.3,1.29063657407,1.40851851852,3.64841435185
0.35,1.45818287037,1.52246527778,4.43581018519
0.4,1.58150462963,1.57435185185,4.94961805556
0.45,1.58322916667,1.61372685185,5.68491898148
0.5,1.62471064815,1.66216435185,6.70716435185
0.55,1.66579861111,1.6975462963,8.48260416667
0.6,1.7015625,1.78986111111,9.57688657407
0.65,1.70365740741,2.24458333333,10.7187847222
0.7,1.70657407407,2.63341435185,12.5098611111
0.75,1.70803240741,3.29528935185,14.6533333333
0.8,1.95700231481,4.55758101852,16.6707407407
0.85,2.74518518519,6.64393518519,18.7062152778
0.9,4.70518518519,10.5569212963,22.617662037
0.95,12.4491203704,18.5315393519,25.7496180556
