Percentile,Free Users,Subscribed Users
0.05,,
0.1,,0.0
0.15,,0.0
0.2,,0.0
0.25,,0.0
0.3,,0.0
0.35,,1.0
0.4,,1.0
0.45,,2.0
0.5,,3.0
0.55,,4.0
0.6,,5.0
0.65,,6.0
0.7,,8.0
0.75,0.0,10.0
0.8,0.0,14.0
0.85,0.0,18.0
0.9,1.0,23.0
0.95,5.0,33.0
