Week,All Free Users,Free Users With Photos,Subscribed Users
2013-03-04,0.3017,0.3934,0.9511
2013-03-11,0.2961,0.3941,0.9175
2013-03-18,0.3467,0.4465,0.8983
2013-03-25,0.3266,0.4103,0.9104
2013-04-01,0.2815,0.3909,0.949
2013-04-08,0.3016,0.4003,0.934
2013-04-15,0.3101,0.3938,0.9245
2013-04-22,0.3289,0.4044,0.9189
2013-04-29,0.2399,0.3108,0.95
2013-05-06,0.2706,0.3699,0.9417
2013-05-13,0.29,0.3864,0.9464
2013-05-20,0.2753,0.4057,0.9571
2013-05-27,0.235,0.3278,0.9351
2013-06-03,0.2598,0.3562,1.0
2013-06-10,0.2899,0.3791,0.8966
2013-06-17,0.2514,0.3295,0.9231
2013-06-24,0.3272,0.4113,0.9508
2013-07-01,0.3227,0.4124,0.9669
2013-07-08,0.336,0.4152,0.9394
2013-07-15,0.2861,0.3502,0.9649
2013-07-22,0.4309,0.5049,0.9741
2013-07-29,0.3615,0.4605,0.9645
2013-08-05,0.4422,0.5072,0.9632
2013-08-12,0.4276,0.5149,0.9689
2013-08-19,0.4077,0.4901,0.9872
2013-08-26,0.4205,0.4997,0.9722
2013-09-02,0.3909,0.4543,0.977
2013-09-09,0.4232,0.5107,0.9519
2013-09-16,0.4442,0.511,0.9831
2013-09-23,0.516,0.6123,0.9699
2013-09-30,0.4672,0.5612,0.9881
2013-10-07,0.4949,0.5798,0.9481
2013-10-14,0.4952,0.5963,0.9588
2013-10-21,0.5819,0.6981,0.9905
2013-10-28,0.9192,0.9481,1.0
2013-11-04,1.0,1.0,1.0
