Date,Revenue / All Users,Revenue / Users With Accessible Photos
Oct-12,0.313297887595,0.51249573869
Nov-12,0.374154802263,0.979938281251
Dec-12,0.362806385205,0.912609310859
Jan-13,0.390774507192,0.86736736157
Feb-13,0.371926579976,1.08708321536
Mar-13,0.530373617167,0.99879923673
Apr-13,0.497696395003,0.772169236609
May-13,0.496100399427,0.752156020117
Jun-13,0.451873874067,0.6730849827
Jul-13,0.435365884591,0.625497112502
Aug-13,0.470400999159,0.652052846352
Sep-13,0.451018436868,0.611325945807
Oct-13,0.468591089105,0.626075370709
Nov-13,0.328429789619,0.436877123461
