View,Duration
event,8.81106481481
events,6.38210648148
home,5.44199074074
flashback,1.06637731481
albums,0.905821759259
album,0.622118055556
highlights,0.224224537037
photopage,0.187048611111
events-empty,0.138541666667
inmails,0.0958333333333
selection,0.0914699074074
inmail,0.0474074074074
albums-empty,0.0388194444444
highlights-empty,0.00724537037037
purge,0.00609953703704
recently-modified,0.00349537037037
photopages,0.000543981481481
undated,0.000381944444444
