Percentile,Count
0.05,0.0
0.1,0.0
0.15,0.0
0.2,0.0
0.25,0.0
0.3,1.0
0.35,1.0
0.4,2.0
0.45,2.0
0.5,3.0
0.55,3.0
0.6,4.0
0.65,5.0
0.7,6.0
0.75,8.0
0.8,10.0
0.85,12.0
0.9,16.0
0.95,23.0
