Day,Subscribed,Limited,Grace,Trial,Virtual
2013-03-02,1450,7520,184,4050,4010
2013-03-03,1468,7538,183,4221,4097
2013-03-04,1480,7574,165,4339,4175
2013-03-05,1494,12208,,,4222
2013-03-06,1676,12586,,,4312
2013-03-07,1785,12968,,,4402
2013-03-08,1833,13180,,,4484
2013-03-09,1886,13579,,,4581
2013-03-10,1965,13855,,,4658
2013-03-11,2038,14045,,,4746
2013-03-12,2078,14250,,,4827
2013-03-13,2102,14416,,,4882
2013-03-14,2123,14505,,,4910
2013-03-15,2141,14595,,,4947
2013-03-16,2194,14637,,,4990
2013-03-17,2225,14686,,,5039
2013-03-18,2259,14755,,,5119
2013-03-19,2282,14830,,,5157
2013-03-20,2305,14891,,,5202
2013-03-21,2320,14951,,,5238
2013-03-22,2334,15000,,,5270
2013-03-23,2353,15024,,,5309
2013-03-24,2366,15082,,,5354
2013-03-25,2391,15099,,,5431
2013-03-26,2404,15123,,,5469
2013-03-27,2412,15160,,,5490
2013-03-28,2432,15234,,,5512
2013-03-29,2444,15284,,,5540
2013-03-30,2460,15301,,,5562
2013-03-31,2479,15387,,,5615
2013-04-01,2495,15428,,,5660
2013-04-02,2506,15501,,,5742
2013-04-03,2528,15552,,,5799
2013-04-04,2541,15578,,,5834
2013-04-05,2547,15632,,,5861
2013-04-06,2575,15641,,,5889
2013-04-07,2585,15946,,,5937
2013-04-08,2610,16291,,,5994
2013-04-09,2615,16370,,,6018
2013-04-10,2624,16417,,,6057
2013-04-11,2628,16555,,,6082
2013-04-12,2643,16684,,,6111
2013-04-13,2664,16909,,,6157
2013-04-14,2687,17017,,,6211
2013-04-15,2703,17098,,,6268
2013-04-16,2711,17160,,,6307
2013-04-17,2715,17250,,,6329
2013-04-18,2726,17315,,,6351
2013-04-19,2734,17353,,,6379
2013-04-20,2753,17365,,,6416
2013-04-21,2763,17403,,,6453
2013-04-22,2778,17456,,,6476
2013-04-23,2789,17487,,,6511
2013-04-24,2797,17525,,,6550
2013-04-25,2807,17560,,,6581
2013-04-26,2813,17583,,,6611
2013-04-27,2821,17590,,,6632
2013-04-28,2835,17607,,,6661
2013-04-29,2842,17647,,,6703
2013-04-30,2846,17684,,,6740
2013-05-01,2853,17700,,,6776
2013-05-02,2856,17754,,,6795
2013-05-03,2864,17814,,,6835
2013-05-04,2904,17801,,,6877
2013-05-05,2913,17832,,,6899
2013-05-06,2923,17852,,,6929
2013-05-07,2938,17884,,,6973
2013-05-08,2943,17920,,,7025
2013-05-09,2975,18120,,,7080
2013-05-10,2989,18211,,,7134
2013-05-11,3004,18256,,,7193
2013-05-12,3013,18467,,,7253
2013-05-13,3030,18657,,,7316
2013-05-14,3044,18784,,,7379
2013-05-15,3053,18863,,,7426
2013-05-16,3059,18933,,,7484
2013-05-17,3069,19013,,,7525
2013-05-18,3086,19073,,,7581
2013-05-19,3088,19161,,,7636
2013-05-20,3097,19270,,,7700
2013-05-21,3114,19394,,,7776
2013-05-22,3122,19562,,,7836
2013-05-23,3135,19699,,,7877
2013-05-24,3143,19809,,,7919
2013-05-25,3156,19901,,,7988
2013-05-26,3159,20000,,,8032
2013-05-27,3168,20123,,,8076
2013-05-28,3172,20240,,,8108
2013-05-29,3176,20369,,,8146
2013-05-30,3191,20510,,,8181
2013-05-31,3205,20618,,,8214
2013-06-01,3217,20861,,,8287
2013-06-02,3233,21187,,,8318
2013-06-03,3247,21453,,,8393
2013-06-04,3257,21677,,,8461
2013-06-05,3265,21773,,,8508
2013-06-06,3266,21871,,,8553
2013-06-07,3272,22011,,,8584
2013-06-08,3285,22129,,,8636
2013-06-09,3289,22178,,,8681
2013-06-10,3291,22255,,,8728
2013-06-11,3291,22336,,,8762
2013-06-12,3299,22405,,,8796
2013-06-13,3305,22453,,,8836
2013-06-14,3312,22515,,,8861
2013-06-15,3315,22561,,,8904
2013-06-16,3315,22612,,,8928
2013-06-17,3324,22667,,,8980
2013-06-18,3327,22726,,,9038
2013-06-19,3327,22788,,,9073
2013-06-20,3331,22827,,,9102
2013-06-21,3337,22853,,,9136
2013-06-22,3342,22890,,,9170
2013-06-23,3348,22941,,,9201
2013-06-24,3355,23009,,,9245
2013-06-25,3362,23056,,,9312
