Percentile,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0.05,0.00904171393977,0.00913029723697,0.0097941583395,0.00988325834274,0.00966990272204,0.00927378336589,0.00985341946284
0.1,0.0108787194226,0.0120081806183,0.0134768778086,0.0116016028325,0.0123524444633,0.011336977813,0.0112808666627
0.15,0.0122827055719,0.0138599194421,0.0163778305716,0.0136461833451,0.0145789944463,0.0135613444116,0.0135670083099
0.2,0.0143388250139,0.0163465472062,0.0201610722144,0.0165926972363,0.0176059777869,0.015716400014,0.0168861000405
0.25,0.0166213777992,0.01987621665,0.0240732000271,0.0202877222167,0.0198659582933,0.0176968444718,0.0188690805435
0.3,0.0192093888919,0.0225635166963,0.0286567250225,0.0234546138843,0.0233010416561,0.0209090277884,0.0211630388763
0.35,0.0232309333483,0.0257619277636,0.0328071388933,0.0272882999976,0.0281454694271,0.0250993527969,0.0237519360913
0.4,0.0282688833608,0.0280431194438,0.0378747055266,0.0327778555287,0.0346605610847,0.030721711119,0.0290081833469
0.45,0.0325888055563,0.0351963277658,0.0453311083052,0.0374303444227,0.0467111472289,0.037364202804,0.0348024027215
0.5,0.0399431139231,0.0422141083744,0.0514410861333,0.0456105722321,0.057306511071,0.0483978278107,0.0418871833218
0.55,0.055887136062,0.0517068583435,0.0663551638524,0.059842747185,0.0853437472052,0.058639149997,0.0505898388889
0.6,0.0796383500099,0.06776480284,0.0897556722164,0.0871581694815,0.125425941679,0.0755634721782,0.0693488417069
0.65,0.122338780562,0.0952919055356,0.147621127764,0.236203000016,0.254392552773,0.111615630521,0.104408769475
0.7,0.359315530525,0.205950858328,0.293515124983,0.622557477752,0.734317222171,0.316403536134,0.170055683321
0.75,1.22616816388,1.86978203336,1.57980139163,3.38571383615,3.47541508059,1.33502256393,0.337397138874
0.8,5.5349708528,7.69598368605,8.18092080275,8.69033641669,12.5835476917,6.28044491669,2.25455169724
0.85,13.8463716916,26.3297993639,24.3388088834,19.916499475,24.0069823445,22.422802325,9.04997250279
0.9,40.4769903388,46.9313965305,51.3563058361,41.9321995528,63.0688512444,42.9169744084,26.0661418666
0.95,95.882511875,132.484770608,96.5424828861,124.547317525,169.652335397,106.391944889,118.108576628
