Device,Count
samsung SC-01E,1
LGE LG-LS855,1
samsung GT-I9100G,1
HUAWEI MediaPad,1
HTC Sensation Z710e,1
SHARP SBM203SH,1
Sony C5502,1
NEWMAN N1,1
samsung GT-P7500,1
samsung SAMSUNG-SGH-I467,1
HTC Desire X,1
samsung SGH-I777,1
samsung SHV-E300K,1
Motorola XT557,1
FUJITSU F-12C,1
samsung SCH-I415,1
FUJITSU MOBILE COMMUNICATIONS LIMITED FJL21,1
HUAWEI GS03,1
HTC Desire 500,1
NEC LT-NA7,1
samsung SM-C101,1
Sony Xperia Z Ultra,1
alps GT-I9100,1
asus ME302C,1
LGE VS930 4G,1
unknown Clanga 097-2016,1
SHARP SH-06E,1
Sony Xperia U,1
HTC HTL22,1
Acer Z130,1
intel AZ210A,1
Sony C6606,1
Sony C5503,1
Sony SGP311,1
LGE LG-F200L,1
Sony C6503,1
motorola MB526,1
HTC Butterfly s,1
TOSHIBA AT10-A,1
Acer E350,1
Acer A700,1
SHARP SHL21,1
LGE LG-E975,1
Motorola MB525,1
Xiaomi MI 2SC,1
Sony C6906,1
Sony Ericsson SO-01C,1
samsung GT-I9192,1
Sony MT27i,1
samsung GT-P7510,1
Sony Ericsson LT15i,1
samsung GT-N5100,1
HP Slate 7,1
Sony Ericsson MT11i,1
samsung SHV-E250S,1
alps CINK KING,1
motorola XT905,1
HTC ISW12HT,1
samsung GT-P6810,1
LGE Optimusx4,1
TOSHIBA AT300SE,1
unknown Amazon Kindle Fire,1
motorola XT926,1
samsung SM-N9000Q,1
Sony Ericsson IS11S,1
Brondi Glory 2,1
Motorola MZ616,1
HUAWEI U9200,1
samsung GT-I9082L,1
HTC first,1
Sony ST26a,1
motorola XT919,1
asus ME173X,1
Sony SO-03E,1
asus ASUS Transformer Pad TF300TG,1
samsung GT-I8730T,1
samsung SCH-R950,1
samsung GT-I8160L,1
htc enrc2b,1
FUJITSU F-06E,1
lge LG-MS770,1
samsung GT-I9070P,1
Sony Ericsson LT28h,1
Samsung SPH-D700,1
samsung GT-S6500,1
samsung GT-S7560,1
Xiaomi MI 1SC,1
Sony Ericsson MT11a,1
samsung GT-N8000,1
YIFANG NX008HD8G,1
samsung GT-N5120,1
samsung GT-I9105P,1
TCT ALCATEL ONE TOUCH 5020X,1
Acer A211,1
LENOVO LIFETAB_S9714,1
HTC J Z321e,1
samsung SCH-I815,1
Sony Ericsson WT19i,1
samsung SCL21,1
samsung GT-P5210,1
Sony Ericsson X10,1
PANASONIC P-02E,1
HUAWEI C8812E,1
Samsung SGH-T679,1
LGE LG-VM696,1
HUAWEI P2-6011,1
WIKO CINK PEAX 2,1
motorola MB855,1
Sony Ericsson MT27i,1
PANTECH ADR910L,1
samsung SAMSUNG-SGH-I577,1
Enspert CINK PEAX,1
Sony ST23a,1
samsung SPH-M830,1
Sony Ericsson SO-03C,1
LGE LG-E612g,1
Matsunichi Le Pan S,1
HTC One dual sim,1
Sony SOL23,1
FUJITSU F-07E,1
MOTO MB526,1
samsung SGH-I757M,1
HUAWEI U8860,1
HUAWEI MT1-U06,1
Sony ST25a,1
HTC Ruby,1
Fly IQ446,1
LGE LG-E739,1
alps N9500,1
Sony Ericsson SK17i,1
motorola MB612,1
samsung SAMSUNG-SGH-I537,1
asus ME371MG,1
LGE LG-E988,1
PANASONIC P-01D,1
samsung GT-I9305T,1
Sony C5303,1
samsung GT-N8013,1
asus Slider SL101,1
Prestigio PAP4044DUO,1
Sony Ericsson LT26i,1
HTC Sensation,1
HUAWEI U8666E-51,1
LGE LG-F240L,1
LGE LG-E615f,1
samsung SHV-E330S,1
Fly IQ440,1
HTC PG86100,1
LGE LG-E610,1
HKC P774A,1
Sony ST27i,1
samsung SM-N900P,1
LGE LG-P880,1
samsung SCH-I959,1
HTC Butterfly,1
Sony SGP321,1
alps AT-AS43D2,1
asus ME172V,1
Sony Ericsson ST18i,1
HTC PH39100,1
motorola XT925,1
FUJITSU F-02E,1
HTC One 801e,1
ZTE N9120,1
PANASONIC P-02D,1
ZWX ZP990,1
Sony C2105,1
LGE L-01D,1
Barnes & Noble BN NookHD+,1
samsung SGH-T989D,1
samsung SGH-I547C,1
samsung GT-P1000,1
Barnes & Noble Nook HD+,1
Amazon Kindle Fire HD,1
samsung GT-I8552,1
samsung SHW-M440S,1
