Percentile,Free Users,Subscribed Users
0.05,0.0493113338947,0.0473032663266
0.1,0.0784156670173,0.0737379997969
0.15,0.122367599607,0.12185074985
0.2,0.176209182541,0.184695817033
0.25,0.236812682947,0.260332750281
0.3,0.301883033911,0.345714550217
0.35,0.379902183016,0.443212800225
0.4,0.465671066443,0.55630436639
0.45,0.567727566759,0.681804849704
0.5,0.685129250089,0.827032067378
0.55,0.825148316224,0.995116467277
0.6,0.989250950019,1.17515100042
0.65,1.17753058374,1.41174139977
0.7,1.43643864989,1.70016989907
0.75,1.77222706676,2.08869426648
0.8,2.23485373358,2.62023380001
0.85,2.97827189962,3.40957081616
0.9,4.35295651654,4.88780628343
0.95,8.20371741652,8.29249681632
