Percentile,Count
0.05,1
0.1,1
0.15,1
0.2,1
0.25,1
0.3,1
0.35,3
0.4,5
0.45,7
0.5,9
0.55,13
0.6,17
0.65,23
0.7,31
0.75,42
0.8,58
0.85,86
0.9,130
0.95,246
