Date,Stripe Yearly,Stripe Monthly,Apple Monthly
Sep-12,181.0,22.0,22.0
Oct-12,167.0,42.0,48.0
Nov-12,249.0,63.0,51.0
Dec-12,121.0,81.0,82.0
Jan-13,218.0,102.0,103.0
Feb-13,193.0,135.0,112.0
Mar-13,729.0,340.0,282.0
Apr-13,231.0,413.0,326.0
May-13,277.0,474.0,374.0
Jun-13,239.0,496.0,419.0
Jul-13,395.0,632.0,475.0
Aug-13,808.0,848.0,677.0
Sep-13,752.0,960.0,605.0
Oct-13,754.0,1039.0,776.0
