Date,Last 7 Days,Last 30 Days
Sep-12,0.542,0.7797
Oct-12,0.4884,0.7791
Nov-12,0.4982,0.7509
Dec-12,0.6082,0.7948
Jan-13,0.6302,0.8755
Feb-13,0.6529,0.8529
Mar-13,0.5894,0.85
Apr-13,0.5947,0.8239
May-13,0.6475,0.8407
Jun-13,0.7026,0.8744
Jul-13,0.7485,0.9172
Aug-13,0.7649,0.9295
Sep-13,0.8029,0.9467
Oct-13,0.8944,1.0
