Date,Count
Sep-12,2119
Oct-12,650
Nov-12,1489
Dec-12,1655
Jan-13,1541
Feb-13,3617
Mar-13,4830
Apr-13,2644
May-13,3526
Jun-13,5935
Jul-13,6470
Aug-13,8827
Sep-13,5594
Oct-13,5001
