Day,Ratio
2013-09-25,0.0733
2013-09-26,0.1053
2013-09-27,0.0751
2013-09-28,0.0551
2013-09-29,0.0765
2013-09-30,0.0869
2013-10-01,0.0896
2013-10-02,0.084
2013-10-03,0.078
2013-10-04,0.0778
2013-10-05,0.0806
2013-10-06,0.0803
2013-10-07,0.0899
2013-10-08,0.0916
2013-10-09,0.0874
2013-10-10,0.063
2013-10-11,0.0618
2013-10-12,0.0713
2013-10-13,0.0544
2013-10-14,0.0741
2013-10-15,0.1176
2013-10-16,0.0772
2013-10-17,0.0709
2013-10-18,0.0524
2013-10-19,0.0659
2013-10-20,0.0611
2013-10-21,0.0715
2013-10-22,0.0599
2013-10-23,0.1489
2013-10-24,0.1117
2013-10-25,0.0797
2013-10-26,0.0613
2013-10-27,0.0795
2013-10-28,0.0596
2013-10-29,0.096
2013-10-30,0.0737
2013-10-31,0.0473
2013-11-01,0.053
2013-11-02,0.0847
2013-11-03,0.0841
2013-11-04,0.0681
2013-11-05,0.0416
