Percentile,Free Users,Subscribed Users
0.05,,0.0
0.1,,0.0
0.15,,1.0
0.2,,2.0
0.25,,4.0
0.3,,5.0
0.35,,7.0
0.4,,9.0
0.45,,12.0
0.5,,15.0
0.55,,20.0
0.6,,25.0
0.65,0.0,31.0
0.7,0.0,38.0
0.75,1.0,48.0
0.8,2.0,61.0
0.85,4.0,78.0
0.9,8.0,101.0
0.95,23.0,140.0
