Day,Average,Median
2013-05-13,9518,1881
2013-05-14,9518,1891
2013-05-15,9515,1888
2013-05-16,9521,1885
2013-05-17,9516,1889
2013-05-18,9519,1898
2013-05-19,9529,1902
2013-05-20,9515,1880
2013-05-21,9519,1895
2013-05-22,9481,1889
2013-05-23,9450,1880
2013-05-24,9463,1880
2013-05-25,9484,1881
2013-05-26,9509,1880
2013-05-27,9523,1888
2013-05-28,9515,1871
2013-05-29,9521,1873
2013-05-30,9503,1865
2013-05-31,9477,1864
2013-06-01,9482,1870
2013-06-02,9403,1840
2013-06-03,9307,1817
2013-06-04,9274,1813
2013-06-05,9265,1798
2013-06-06,9273,1796
2013-06-07,9260,1786
2013-06-08,9253,1775
2013-06-09,9270,1778
2013-06-10,9281,1783
2013-06-11,9298,1788
2013-06-12,9305,1784
2013-06-13,9313,1782
2013-06-14,9324,1779
2013-06-15,9332,1766
2013-06-16,9338,1758
2013-06-17,9358,1758
2013-06-18,9387,1758
2013-06-19,9401,1759
2013-06-20,9408,1757
2013-06-21,9431,1765
2013-06-22,9452,1767
2013-06-23,9471,1761
2013-06-24,9482,1749
2013-06-25,9494,1754
2013-06-26,9505,1768
2013-06-27,9525,1769
2013-06-28,9203,1611
2013-06-29,8952,1534
2013-06-30,8927,1537
2013-07-01,8903,1542
2013-07-02,8905,1552
2013-07-03,8906,1560
2013-07-04,8926,1579
2013-07-05,8932,1588
2013-07-06,8962,1577
2013-07-07,8994,1573
2013-07-08,9013,1566
2013-07-09,9035,1558
2013-07-10,9047,1564
2013-07-11,9057,1571
2013-07-12,9061,1575
2013-07-13,9076,1572
2013-07-14,9089,1583
2013-07-15,9094,1587
2013-07-16,9111,1590
2013-07-17,9121,1594
2013-07-18,9138,1597
2013-07-19,9143,1599
2013-07-20,9111,1615
2013-07-21,9118,1613
2013-07-22,9125,1611
2013-07-23,9135,1619
2013-07-24,9143,1616
2013-07-25,9112,1610
2013-07-26,9091,1601
2013-07-27,9104,1601
2013-07-28,9037,1578
2013-07-29,8959,1538
2013-07-30,8964,1540
2013-07-31,9001,1567
2013-08-01,9024,1567
2013-08-02,9055,1575
2013-08-03,9085,1585
2013-08-04,9124,1593
2013-08-05,9147,1606
2013-08-06,9141,1601
2013-08-07,9143,1591
2013-08-08,9166,1598
2013-08-09,9182,1594
2013-08-10,9035,1549
2013-08-11,8887,1533
2013-08-12,8753,1499
2013-08-13,8803,1528
2013-08-14,8827,1538
2013-08-15,8859,1548
2013-08-16,8895,1552
2013-08-17,8916,1553
