Day,Mac,Windows,iOS,Android
Monday,21.3348043168,16.5915156999,45.6149587784,33.9334380815
Tuesday,22.2468024852,31.2990872882,44.3805587407,32.1863465477
Wednesday,22.3303593234,19.2523671638,42.3284469812,17.7454200567
Thursday,21.2363341654,17.3595346746,40.426072683,33.9057489827
Friday,26.4887701543,22.2633181774,30.0139882083,31.0723697851
Saturday,20.9203721558,13.9529928094,24.8241039438,34.1452836811
Sunday,19.4890245447,11.1174677419,26.5880505987,16.3647271291
