Percentile,Days
0.05,0.00468410370251
0.1,0.0104393239595
0.15,0.0320303993037
0.2,0.0691269071759
0.25,0.424544452084
0.3,1.30506688102
0.35,4.91145690625
0.4,11.1882167556
0.45,15.2238254807
0.5,25.5268427057
0.55,34.1161894895
0.6,47.0108619895
0.65,57.5841025266
0.7,67.678188506
0.75,80.0264642785
0.8,96.1817401257
0.85,109.923425073
0.9,130.743512411
0.95,226.484783341
