Percentile,Count
0.05,0
0.1,5
0.15,17
0.2,45
0.25,76
0.3,132
0.35,200
0.4,340
0.45,473
0.5,638
0.55,928
0.6,1466
0.65,2185
0.7,3092
0.75,4211
0.8,5826
0.85,8091
0.9,11210
0.95,26132
