Percentile,Count
0.05,0.163222450018
0.1,0.427462966243
0.15,0.893410483003
0.2,1.57784706652
0.25,2.44070854982
0.3,3.74997041623
0.35,5.66267170012
0.4,7.82674784958
0.45,11.3621350338
0.5,16.0599366327
0.55,22.8910432994
0.6,31.5244422833
0.65,45.6671931664
0.7,68.5092452506
0.75,114.341183683
0.8,201.121375967
0.85,428.0746321
0.9,911.72088765
0.95,2151.53433123
