Percentile,Count
0.05,1429
0.1,2553
0.15,3592
0.2,4689
0.25,5883
0.3,7090
0.35,8224
0.4,9558
0.45,10880
0.5,12280
0.55,13899
0.6,15495
0.65,17547
0.7,19866
0.75,23027
0.8,26178
0.85,30584
0.9,36926
0.95,50225
