Date,Photo Mails,Photo Pages
Sep-12,0.1069,0.1047
Oct-12,0.0869,0.1028
Nov-12,0.0864,0.1096
Dec-12,0.1053,0.1024
Jan-13,0.0933,0.0886
Feb-13,0.1511,0.1292
Mar-13,0.1326,0.1062
Apr-13,0.1199,0.0969
May-13,0.1139,0.0746
Jun-13,0.1037,0.0639
Jul-13,0.1181,0.0753
Aug-13,0.1216,0.0714
Sep-13,0.1025,0.0639
Oct-13,0.0761,0.0509
