Day,Count
2013-06-11,29587
2013-06-12,30011
2013-06-13,30154
2013-06-14,30193
2013-06-15,31494
2013-06-16,31558
2013-06-17,31706
2013-06-18,33091
2013-06-19,33484
2013-06-20,33489
2013-06-21,33532
2013-06-22,33547
2013-06-23,33603
2013-06-24,33767
2013-06-25,33800
2013-06-26,33856
2013-06-27,33934
2013-06-28,33967
2013-06-29,34004
2013-06-30,34048
2013-07-01,34080
2013-07-02,34128
2013-07-03,34156
2013-07-04,34233
2013-07-05,34401
2013-07-06,34551
2013-07-07,35296
2013-07-08,35484
2013-07-09,35530
2013-07-10,35860
2013-07-11,35926
2013-07-12,35978
2013-07-13,36031
2013-07-14,36166
2013-07-15,36441
2013-07-16,36523
2013-07-17,36994
2013-07-18,37209
2013-07-19,37238
2013-07-20,37283
2013-07-21,37375
2013-07-22,37428
2013-07-23,37470
2013-07-24,37501
2013-07-25,37734
2013-07-26,37814
2013-07-27,37951
2013-07-28,38020
2013-07-29,38402
2013-07-30,38487
2013-07-31,38619
2013-08-01,38585
2013-08-02,38651
2013-08-03,38779
2013-08-04,38931
2013-08-05,39021
2013-08-06,39140
2013-08-07,39260
2013-08-08,39315
2013-08-09,39350
2013-08-10,39409
2013-08-11,39461
2013-08-12,39663
2013-08-13,39934
2013-08-14,40060
2013-08-15,40465
2013-08-16,40538
2013-08-17,40635
2013-08-18,40742
2013-08-19,41091
2013-08-20,41288
2013-08-21,41368
2013-08-22,41791
2013-08-23,41893
2013-08-24,42022
2013-08-25,42277
2013-08-26,42388
2013-08-27,42477
2013-08-28,42666
2013-08-29,42838
2013-08-30,43029
2013-08-31,43191
2013-09-01,43702
2013-09-02,44051
2013-09-03,44220
2013-09-04,44342
2013-09-05,46148
2013-09-06,45995
2013-09-07,46093
2013-09-08,46197
2013-09-09,46286
2013-09-10,46419
2013-09-11,46688
2013-09-12,46969
2013-09-13,47041
2013-09-14,47145
2013-09-15,47287
2013-09-16,47513
2013-09-17,47607
2013-09-18,47891
2013-09-19,48006
2013-09-20,48205
2013-09-21,48232
2013-09-22,48274
2013-09-23,48421
2013-09-24,48472
2013-09-25,48536
2013-09-26,48729
2013-09-27,48798
2013-09-28,48903
2013-09-29,49302
2013-09-30,49478
2013-10-01,49526
2013-10-02,49583
2013-10-03,49711
2013-10-04,49821
2013-10-05,49899
2013-10-06,50179
2013-10-07,50394
2013-10-08,50555
2013-10-09,50634
2013-10-10,50731
2013-10-11,50840
2013-10-12,50971
2013-10-13,51205
2013-10-14,51637
2013-10-15,52073
2013-10-16,52157
2013-10-17,52201
2013-10-18,52343
2013-10-19,52414
2013-10-20,52496
2013-10-21,52789
2013-10-22,52950
2013-10-23,53072
2013-10-24,53102
2013-10-25,53066
2013-10-26,53203
2013-10-27,53300
2013-10-28,53695
2013-10-29,53785
2013-10-30,54531
2013-10-31,54944
2013-11-01,55188
2013-11-02,55360
2013-11-03,55441
2013-11-04,55523
2013-11-05,55751
