Date,All Users,Users With Accessible Photos
Oct-12,1.121989085,1.83536068287
Nov-12,1.36023722356,3.56255891647
Dec-12,1.3963286004,3.51234855203
Jan-13,1.59544878817,3.54127554497
Feb-13,1.45281344516,4.24634644661
Mar-13,1.29795560834,2.44430912276
Apr-13,0.680116738654,1.05519193662
May-13,0.646115919466,0.97960005491
Jun-13,0.561357371502,0.836165218593
Jul-13,0.628548371102,0.90304547303
Aug-13,0.609931733416,0.845465302082
Sep-13,0.549246667014,0.744467877023
Oct-13,0.555995465079,0.742854644499
Nov-13,0.075862576091,0.100912356517
