Percentile,Count
0.05,3
0.1,11
0.15,25
0.2,47
0.25,78
0.3,117
0.35,171
0.4,244
0.45,340
0.5,470
0.55,647
0.6,886
0.65,1180
0.7,1568
0.75,2084
0.8,2758
0.85,3724
0.9,5236
0.95,8300
