Percentile,Count
0.05,1786
0.1,3390
0.15,5048
0.2,6735
0.25,8430
0.3,10005
0.35,11784
0.4,13698
0.45,15645
0.5,17890
0.55,20567
0.6,23260
0.65,26539
0.7,30357
0.75,34737
0.8,41019
0.85,49879
0.9,63803
0.95,90801
